,NAME,,,省会,经度,纬度
340,玉树藏族,,,,94.95023126,34.2539409
341,玉溪,,,,102.2626503,24.145731
342,岳阳,,,,113.3005553,29.14302296
343,云浮,,,,111.8065617,22.85240408
344,运城,,,,111.203012,35.20423944
345,枣庄,,,,117.420509,34.89271931
346,湛江,,,,110.1460789,21.06436233
347,张家界,,,,110.5827503,29.33346138
348,张家口,,,,115.2520899,40.83342583
349,张掖,,,,100.3772019,38.72226971
350,漳州,,,,117.5522703,24.36832894
351,长治,,,,112.877069,36.47776641
352,昭通,,,,104.2948717,27.644764
353,肇庆,,,,112.138329,23.5890869
354,镇江,,,,119.4363228,31.97657945
355,中山,,,,113.4588223,22.47793489
356,中卫,,,,105.5489608,36.9216085
357,舟山,,,,122.2543505,30.25205366
358,周口,,,,114.8413745,33.69084267
359,珠海,,,,113.987513,22.11729392
360,株洲,,,,113.5249898,27.03603639
361,驻马店,,,,114.1527232,32.90840338
362,资阳,,,,104.9720587,30.16033375
363,淄博,,,,117.9434864,36.61529102
364,自贡,,,,104.6895768,29.28346526
365,遵义,,,,107.0023324,28.1614172
366,新疆和田县,,,,80.78640537,37.19360114
367,新疆墨玉县,,,,80.17269863,38.37537627
368,云南个旧市,,,,103.1023641,23.31709453
369,锡盟,,,,114.7700177,44.28798199
370,恩施土家族苗族,,,,109.4551151,30.25634185
371,海南藏族,,,,100.3757152,35.93166861
372,克州,,,,74.92815574,38.89703704
373,喀什,,,,76.46557294,37.52500914
374,双河,,,,82.35660942,44.71951028
375,巴州,,,,87.3747825,39.16812786
376,北屯,,,,87.83736379,47.29708203
377,海西蒙古族藏族,,,,95.16350654,37.24744991
378,坝州,,,,102.227504,32.43412667
379,玉树州,,,,94.95023126,34.2539409
380,可克达拉,,,,81.08836163,43.79924451
381,黄南藏族,,,,96.82105881,34.48567597
382,博州,,,,81.69290057,44.91647873
383,铁门关,,,,85.503343,41.827372
